#sequence_ID, dataset_ID
1,1
2,2
3,3
4,4
5,1
6,2
7,3
8,4
9,1
10,2
11,3
12,4
13,1
14,2
15,3
16,4
17,1
18,2
19,3
20,4
21,1
22,2
23,3
24,4
25,1
26,2
27,3
28,4
29,1
30,2
31,3
32,4
33,1
34,2
35,3
36,4
37,1
38,2
39,3
40,4
41,1
42,2
43,3
44,4
45,1
46,2
47,3
48,4
49,1
50,2
51,3
52,4
53,1
54,2
55,3
56,4
57,1
58,2
59,3
60,4
61,1
62,2
63,3
64,4
65,1
66,2
67,3
68,4
69,1
70,2
71,3
72,4
73,1
74,2
75,3
76,4
77,1
78,2
79,3
80,4
81,1
82,2
83,3
84,4
85,1
86,2
87,3
88,4
89,1
90,2
91,3
92,4
93,1
94,2
95,3
96,4
97,1
98,2
99,3
100,4
101,1
102,2
103,3
104,4
105,1
106,2
107,3
108,4
109,1
110,2
111,3
112,4
113,1
114,2
115,3
116,4
117,1
118,2
119,3
120,4
121,1
122,2
123,3
124,4
125,1
126,2
127,3
128,4
129,1
130,2
131,3
132,4
133,1
134,2
135,3
136,4
137,1
138,2
139,3
140,4
141,1
142,2
143,3
144,4
145,1
146,2
147,3
148,4
149,1
150,2
151,3
152,4
153,1
154,2
155,3
156,4
157,1
158,2
159,3
160,4
161,1
162,2
163,3
164,4
165,1
166,2
167,3
168,4
169,1
170,2
171,3
172,4
173,1
174,2
175,3
176,4
177,1
178,2
179,3
180,4
181,1
182,2
183,3
184,4
185,1
186,2
187,3
188,4
189,1
190,2
191,3
192,4
193,1
194,2
195,3
196,4
197,1
198,2
199,3
200,4
201,1
202,2
203,3
204,4
205,1
206,2
207,3
208,4
209,1
210,2
211,3
212,4
213,1
214,2
215,3
216,4
217,1
218,2
219,3
220,4
221,1
222,2
223,3
224,4
225,1
226,2
227,3
228,4
229,1
230,2
231,3
232,4
233,1
234,2
235,3
236,4
237,1
238,2
239,3
240,4
241,1
242,2
243,3
244,4
245,1
246,2
247,3
248,4
249,1
250,2
251,3
252,4
253,1
254,2
255,3
256,4
257,1
258,2
259,3
260,4
261,1
262,2
263,3
264,4
265,1
266,2
267,3
268,4
269,1
270,2
271,3
272,4
273,1
274,2
275,3
276,4
277,1
278,2
279,3
280,4
281,1
282,2
283,3
284,4
285,1
286,2
287,3
288,4
289,1
290,2
291,3
292,4
293,1
294,2
295,3
296,4
297,1
298,2
299,3
300,4
